X 	 Y 	 Z 	 Phi 	 Theta 	 Psi 	 Vx 	 Vy 	 Vz 	 dPhi 	 dTheta 	 dPsi 	Xd 	 Yd 	 Zd 	 Phid 	 Thetad 	 Psid 	  t
-2.567	  0.000	  1.232	  0.000	  0.004	 -0.000	  0.400	  0.000	  0.001	  0.000	 -0.030	 -0.000	  3.000	  0.000	  1.200	  0.000	 -0.002	  0.000	  3.095	 
-2.554	  0.000	  1.232	  0.000	  0.003	 -0.000	  0.405	  0.000	  0.001	  0.000	 -0.029	 -0.000	  3.000	  0.000	  1.200	  0.000	 -0.003	  0.000	  3.128	 
-2.540	  0.000	  1.232	  0.000	  0.002	 -0.000	  0.409	  0.000	  0.001	  0.000	 -0.029	 -0.000	  3.000	  0.000	  1.200	  0.000	 -0.004	  0.000	  3.161	 
-2.527	  0.000	  1.232	  0.000	  0.001	 -0.000	  0.413	  0.000	  0.001	  0.000	 -0.028	 -0.000	  3.000	  0.000	  1.200	  0.000	 -0.005	  0.000	  3.194	 
-2.513	  0.000	  1.233	  0.000	  0.000	 -0.000	  0.417	  0.000	  0.001	  0.000	 -0.027	 -0.000	  3.000	  0.000	  1.200	  0.000	 -0.006	  0.000	  3.228	 
-2.499	  0.000	  1.233	  0.000	 -0.001	 -0.000	  0.420	  0.000	  0.001	  0.000	 -0.026	 -0.000	  3.000	  0.000	  1.200	  0.000	 -0.007	  0.000	  3.261	 
-2.485	  0.000	  1.233	  0.000	 -0.002	 -0.000	  0.423	  0.000	  0.001	 -0.000	 -0.025	 -0.000	  3.000	  0.000	  1.200	  0.000	 -0.007	  0.000	  3.295	 
-2.470	  0.000	  1.233	  0.000	 -0.002	 -0.000	  0.425	  0.000	  0.001	 -0.000	 -0.023	  0.000	  3.000	  0.000	  1.200	  0.000	 -0.008	  0.000	  3.328	 
-2.456	  0.000	  1.233	  0.000	 -0.003	 -0.000	  0.427	  0.000	  0.001	 -0.000	 -0.022	 -0.000	  3.000	  0.000	  1.200	  0.000	 -0.008	  0.000	  3.362	 
-2.442	  0.000	  1.233	  0.000	 -0.004	 -0.000	  0.428	  0.000	  0.001	  0.000	 -0.020	  0.000	  3.000	  0.000	  1.200	  0.000	 -0.009	  0.000	  3.395	 
-2.428	  0.000	  1.233	  0.000	 -0.004	 -0.000	  0.429	  0.000	  0.001	 -0.000	 -0.018	  0.000	  3.000	  0.000	  1.200	  0.000	 -0.009	  0.000	  3.430	 
-2.413	  0.000	  1.233	  0.000	 -0.005	 -0.000	  0.430	  0.000	  0.001	 -0.000	 -0.015	  0.000	  3.000	  0.000	  1.200	  0.000	 -0.009	  0.000	  3.464	 
-2.399	  0.000	  1.233	  0.000	 -0.005	 -0.000	  0.430	  0.000	  0.000	 -0.000	 -0.013	  0.000	  3.000	  0.000	  1.200	  0.000	 -0.010	  0.000	  3.510	 
-2.385	  0.000	  1.233	  0.000	 -0.006	 -0.000	  0.430	  0.000	  0.000	 -0.000	 -0.011	  0.000	  3.000	  0.000	  1.200	  0.000	 -0.010	  0.000	  3.541	 
-2.370	  0.000	  1.233	  0.000	 -0.006	 -0.000	  0.429	  0.000	  0.000	 -0.000	 -0.009	  0.000	  3.000	  0.000	  1.200	  0.000	 -0.010	  0.000	  3.574	 
-2.356	  0.000	  1.233	 -0.000	 -0.006	 -0.000	  0.427	  0.000	  0.000	 -0.000	 -0.006	  0.000	  3.000	  0.000	  1.200	  0.000	 -0.009	  0.000	  3.608	 
-2.342	  0.000	  1.233	 -0.000	 -0.006	 -0.000	  0.426	  0.000	  0.000	 -0.000	 -0.004	  0.000	  3.000	  0.000	  1.200	  0.000	 -0.009	  0.000	  3.642	 
-2.328	  0.000	  1.233	 -0.000	 -0.006	 -0.000	  0.424	  0.000	  0.000	  0.000	 -0.002	  0.000	  3.000	  0.000	  1.200	  0.000	 -0.009	  0.000	  3.674	 
-2.314	  0.000	  1.233	 -0.000	 -0.006	 -0.000	  0.422	  0.000	  0.000	  0.000	  0.000	  0.000	  3.000	  0.000	  1.200	  0.000	 -0.008	  0.000	  3.707	 
-2.300	  0.000	  1.233	 -0.000	 -0.006	 -0.000	  0.419	  0.000	  0.000	  0.000	  0.003	  0.000	  3.000	  0.000	  1.200	  0.000	 -0.008	  0.000	  3.741	 
-2.286	  0.000	  1.233	 -0.000	 -0.006	 -0.000	  0.416	  0.000	  0.000	 -0.000	  0.005	 -0.000	  3.000	  0.000	  1.200	  0.000	 -0.007	  0.000	  3.777	 
-2.272	  0.000	  1.233	 -0.000	 -0.006	 -0.000	  0.413	  0.000	  0.000	  0.000	  0.007	  0.000	  3.000	  0.000	  1.200	  0.000	 -0.007	  0.000	  3.808	 
-2.258	  0.000	  1.233	  0.000	 -0.006	 -0.000	  0.410	  0.000	  0.000	  0.000	  0.008	 -0.000	  3.000	  0.000	  1.200	  0.000	 -0.006	  0.000	  3.841	 
-2.245	  0.000	  1.233	  0.000	 -0.005	 -0.000	  0.407	  0.000	  0.000	  0.000	  0.010	 -0.000	  3.000	  0.000	  1.200	  0.000	 -0.005	  0.000	  3.875	 
-2.231	  0.000	  1.233	  0.000	 -0.005	 -0.000	  0.404	  0.000	  0.000	 -0.000	  0.011	  0.000	  3.000	  0.000	  1.200	  0.000	 -0.004	  0.000	  3.914	 
-2.218	  0.000	  1.233	  0.000	 -0.004	 -0.000	  0.401	  0.000	  0.000	  0.000	  0.013	 -0.000	  3.000	  0.000	  1.200	  0.000	 -0.004	  0.000	  3.948	 
-2.205	  0.000	  1.233	  0.000	 -0.004	 -0.000	  0.397	  0.000	  0.000	  0.000	  0.014	  0.000	  3.000	  0.000	  1.200	  0.000	 -0.003	  0.000	  3.981	 
-2.192	  0.000	  1.233	  0.000	 -0.004	 -0.000	  0.394	  0.000	  0.000	  0.000	  0.014	  0.000	  3.000	  0.000	  1.200	  0.000	 -0.002	  0.000	  4.014	 
-2.179	  0.000	  1.233	  0.000	 -0.003	 -0.000	  0.391	  0.000	  0.000	  0.000	  0.015	  0.000	  3.000	  0.000	  1.200	  0.000	 -0.001	  0.000	  4.048	 
-2.166	  0.000	  1.233	  0.000	 -0.003	 -0.000	  0.388	  0.000	  0.000	  0.000	  0.015	 -0.000	  3.000	  0.000	  1.200	  0.000	 -0.001	  0.000	  4.081	 
-2.153	  0.000	  1.233	  0.000	 -0.002	 -0.000	  0.385	  0.000	  0.000	  0.000	  0.015	  0.000	  3.000	  0.000	  1.200	  0.000	  0.000	  0.000	  4.115	 
-2.140	  0.000	  1.233	  0.000	 -0.002	 -0.000	  0.383	  0.000	  0.000	  0.000	  0.015	 -0.000	  3.000	  0.000	  1.200	  0.000	  0.001	  0.000	  4.148	 
-2.127	  0.000	  1.233	  0.000	 -0.001	 -0.000	  0.381	  0.000	  0.000	  0.000	  0.015	  0.000	  3.000	  0.000	  1.200	  0.000	  0.001	  0.000	  4.181	 
-2.115	  0.000	  1.233	  0.000	 -0.001	 -0.000	  0.379	  0.000	  0.000	  0.000	  0.015	 -0.000	  3.000	  0.000	  1.200	  0.000	  0.002	  0.000	  4.214	 
-2.102	  0.000	  1.233	  0.000	 -0.000	 -0.000	  0.377	  0.000	  0.000	  0.000	  0.014	 -0.000	  3.000	  0.000	  1.200	  0.000	  0.002	  0.000	  4.248	 
