X 	 Y 	 Z 	 Phi 	 Theta 	 Psi 	 Vx 	 Vy 	 Vz 	 dPhi 	 dTheta 	 dPsi 	Xd 	 Yd 	 Zd 	 Phid 	 Thetad 	 Psid 	  t
-2.848	  0.000	  0.281	 -0.000	  0.017	  0.000	  0.000	  0.000	  0.000	 -0.000	 -0.062	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000	  3.056	 
-2.839	  0.000	  0.281	 -0.000	  0.015	  0.000	  0.000	  0.000	  0.000	 -0.000	 -0.063	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000	  3.090	 
-2.829	  0.000	  0.282	 -0.000	  0.013	  0.000	  0.000	  0.000	  0.000	 -0.000	 -0.064	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000	  3.122	 
-2.819	  0.000	  0.283	 -0.000	  0.011	  0.000	  0.000	  0.000	  0.000	 -0.000	 -0.063	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000	  3.156	 
-2.810	  0.000	  0.283	 -0.000	  0.009	  0.000	  0.000	  0.000	  0.000	 -0.000	 -0.062	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000	  3.189	 
-2.800	  0.000	  0.284	 -0.000	  0.007	  0.000	  0.000	  0.000	  0.000	 -0.000	 -0.060	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000	  3.228	 
-2.790	  0.000	  0.284	 -0.000	  0.005	  0.000	  0.000	  0.000	  0.000	 -0.000	 -0.058	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000	  3.261	 
-2.780	  0.000	  0.285	 -0.000	  0.003	  0.000	  0.000	  0.000	  0.000	 -0.000	 -0.055	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000	  3.295	 
-2.770	  0.000	  0.285	 -0.000	  0.001	  0.000	  0.000	  0.000	  0.000	 -0.000	 -0.051	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000	  3.328	 
-2.760	  0.000	  0.286	 -0.000	 -0.000	  0.000	  0.000	  0.000	  0.000	 -0.000	 -0.048	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000	  3.367	 
-2.751	  0.000	  0.286	 -0.000	 -0.002	  0.000	  0.000	  0.000	  0.000	 -0.000	 -0.043	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000	  3.401	 
-2.741	  0.000	  0.287	 -0.000	 -0.003	  0.000	  0.000	  0.000	  0.000	 -0.000	 -0.039	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000	  3.434	 
-2.731	  0.000	  0.287	 -0.000	 -0.004	  0.000	  0.000	  0.000	  0.000	 -0.000	 -0.034	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000	  3.468	 
-2.722	  0.000	  0.287	 -0.000	 -0.005	  0.000	  0.000	  0.000	  0.000	 -0.000	 -0.029	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000	  3.501	 
-2.712	  0.000	  0.288	 -0.000	 -0.006	  0.000	  0.000	  0.000	  0.000	  0.000	 -0.023	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000	  3.534	 
-2.702	  0.000	  0.288	 -0.000	 -0.006	  0.000	  0.000	  0.000	  0.000	  0.000	 -0.018	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000	  3.568	 
-2.693	  0.000	  0.288	 -0.000	 -0.007	  0.000	  0.000	  0.000	  0.000	  0.000	 -0.013	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000	  3.601	 
-2.684	  0.000	  0.288	 -0.000	 -0.007	  0.000	  0.000	  0.000	  0.000	  0.000	 -0.008	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000	  3.634	 
-2.674	  0.000	  0.289	 -0.000	 -0.007	  0.000	  0.000	  0.000	  0.000	  0.000	 -0.003	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000	  3.668	 
-2.665	  0.000	  0.289	 -0.000	 -0.007	  0.000	  0.000	  0.000	  0.000	  0.000	  0.001	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000	  3.701	 
-2.656	  0.000	  0.289	 -0.000	 -0.007	  0.000	  0.000	  0.000	  0.000	  0.000	  0.006	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000	  3.736	 
-2.647	  0.000	  0.289	 -0.000	 -0.007	  0.000	  0.000	  0.000	  0.000	  0.000	  0.010	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000	  3.778	 
-2.638	  0.000	  0.290	 -0.000	 -0.006	  0.000	  0.000	  0.000	  0.000	  0.000	  0.013	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000	  3.811	 
-2.629	  0.000	  0.290	 -0.000	 -0.006	  0.000	  0.000	  0.000	  0.000	  0.000	  0.016	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000	  3.848	 
-2.620	  0.000	  0.290	 -0.000	 -0.005	  0.000	  0.000	  0.000	  0.000	  0.000	  0.019	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000	  3.881	 
-2.612	  0.000	  0.290	 -0.000	 -0.004	  0.000	  0.000	  0.000	  0.000	  0.000	  0.021	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000	  3.915	 
-2.603	  0.000	  0.290	 -0.000	 -0.004	  0.000	  0.000	  0.000	  0.000	  0.000	  0.023	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000	  3.948	 
-2.594	  0.000	  0.290	 -0.000	 -0.003	  0.000	  0.000	  0.000	  0.000	  0.000	  0.024	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000	  3.982	 
-2.585	  0.000	  0.290	  0.000	 -0.002	  0.000	  0.000	  0.000	  0.000	  0.000	  0.025	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000	  4.015	 
-2.576	  0.000	  0.291	  0.000	 -0.001	  0.000	  0.000	  0.000	  0.000	  0.000	  0.025	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000	  4.048	 
-2.568	  0.000	  0.291	  0.000	 -0.000	  0.000	  0.000	  0.000	  0.000	  0.000	  0.024	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000	  4.081	 
-2.559	  0.000	  0.291	  0.000	  0.001	  0.000	  0.000	  0.000	  0.000	  0.000	  0.024	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000	  4.115	 
-2.550	  0.000	  0.291	  0.000	  0.001	  0.000	  0.000	  0.000	  0.000	  0.000	  0.022	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000	  4.148	 
